delivery_id,delivery_date,destination_city,customer_name,customer_id,product_type,quantity_lbs,price_per_lb,revenue,temp_at_delivery_f,required_temp_f,temp_compliance,driver_name,distance_miles,fuel_cost,on_time_delivery
DEL-1033,2025-01-26,Oklahoma City,Prairie Seafood LLC,CUST-189,Tuna Steak,411.0,16.03,6588.33,39.4,34.0,FAIL,R. Thompson,166,69.72,No
DEL-1034,2025-02-09,Tulsa,Tulsa Bay Imports,CUST-103,Catfish Fillet,417.5,10.17,4245.98,32.3,34.0,PASS,M. Patel,199,83.58,Yes
DEL-1035,2026-02-13,Tulsa,Central Fish Supply,CUST-103,Gulf Shrimp,485.1,7.55,3662.51,37.0,34.0,FAIL,L. Davis,254,106.68,No
DEL-1036,2025-09-25,Oklahoma City,Heartland Fish Co.,CUST-177,Cod Fillet,67.2,12.15,816.48,32.8,34.0,PASS,R. Thompson,308,129.36,Yes
DEL-1037,2025-04-29,Tulsa,Heartland Fish Co.,CUST-146,Catfish Fillet,164.6,13.78,2268.19,28.0,34.0,PASS,K. Williams,185,77.7,Yes
DEL-1038,2025-12-05,Wichita,Prairie Seafood LLC,CUST-151,Gulf Shrimp,373.9,7.85,2935.11,32.3,34.0,PASS,L. Davis,252,105.84,Yes
DEL-1039,2025-05-11,Oklahoma City,Wichita Fresh Catch,CUST-170,Tuna Steak,354.8,16.59,5886.13,36.6,34.0,FAIL,R. Thompson,292,122.64,Yes
DEL-1040,2025-11-08,Tulsa,Tulsa Bay Imports,,Tuna Steak,403.6,12.3,4964.28,32.5,34.0,PASS,L. Davis,311,130.62,Yes
DEL-1041,2026-06-08,Tulsa,Red Plains Fish Market,CUST-186,Gulf Shrimp,177.7,13.13,2333.2,36.7,34.0,FAIL,J. Hernandez,205,86.1,Yes
DEL-1042,2025-07-23,Oklahoma City,Gulf Coast Seafood Dist.,CUST-153,Atlantic Salmon,160.2,10.39,1664.48,39.9,34.0,FAIL,J. Hernandez,318,133.56,Yes
DEL-1043,2025-07-19,Wichita,Wichita Fresh Catch,CUST-128,Crawfish Tails,229.8,5.64,1296.07,37.6,34.0,FAIL,J. Hernandez,302,126.84,No
DEL-1044,2026-04-21,Oklahoma City,Route 66 Seafood,CUST-196,Catfish Fillet,462.9,5.26,2434.85,29.9,34.0,PASS,L. Davis,247,103.74,Yes
DEL-1045,2026-06-01,Tulsa,Route 66 Seafood,CUST-181,Crawfish Tails,453.7,14.28,,34.6,34.0,FAIL,R. Thompson,211,88.62,Yes
DEL-1046,2026-05-12,Wichita,Tulsa Bay Imports,CUST-169,Cod Fillet,247.9,13.85,3433.41,31.3,34.0,PASS,R. Thompson,248,104.16,No
DEL-1047,2025-06-04,Oklahoma City,Wichita Fresh Catch,CUST-153,Tilapia Fillet,367.9,4.43,1629.8,33.7,34.0,PASS,K. Williams,323,135.66,No
DEL-1048,2026-03-07,Tulsa,Heartland Fish Co.,CUST-138,Atlantic Salmon,435.5,14.6,6358.3,33.3,34.0,PASS,J. Hernandez,265,111.3,Yes
DEL-1049,2026-03-06,Wichita,Route 66 Seafood,CUST-185,Catfish Fillet,269.7,7.46,2011.96,34.8,34.0,FAIL,L. Davis,257,107.94,Yes
DEL-1050,2026-02-19,Wichita,Red Plains Fish Market,CUST-110,Crawfish Tails,463.8,17.72,8218.54,35.5,34.0,FAIL,L. Davis,98,41.16,Yes
DEL-1051,2025-05-19,Tulsa,Red Plains Fish Market,CUST-135,Atlantic Salmon,167.1,8.25,1378.58,34.4,34.0,FAIL,R. Thompson,279,117.18,Yes
DEL-1052,2026-03-08,Tulsa,Sooner Seafood Co.,CUST-183,Crawfish Tails,58.7,11.32,664.48,42.0,34.0,FAIL,R. Thompson,199,83.58,No
DEL-1053,2025-02-11,Oklahoma City,Tulsa Bay Imports,CUST-172,Catfish Fillet,427.7,12.51,5350.53,31.3,34.0,PASS,L. Davis,143,60.06,Yes
DEL-1054,2026-04-22,Wichita,Central Fish Supply,CUST-139,Mahi Mahi,125.5,12.31,1544.9,38.5,34.0,FAIL,J. Hernandez,168,70.56,No
DEL-1055,2025-01-27,Tulsa,Heartland Fish Co.,CUST-189,Tuna Steak,228.5,13.87,3169.29,29.1,34.0,PASS,M. Patel,137,57.54,Yes
DEL-1056,2025-05-04,Wichita,Gulf Coast Seafood Dist.,CUST-153,Mahi Mahi,289.7,13.09,3792.17,29.0,34.0,PASS,R. Thompson,91,38.22,Yes
DEL-1057,2025-04-19,Tulsa,Prairie Seafood LLC,CUST-159,Crawfish Tails,368.3,9.81,3613.02,38.3,34.0,FAIL,R. Thompson,332,139.44,Yes
DEL-1058,2025-10-02,Tulsa,Tulsa Bay Imports,CUST-143,Gulf Shrimp,175.5,10.04,1762.02,38.5,34.0,FAIL,K. Williams,279,117.18,No
DEL-1059,2025-11-29,Oklahoma City,Midwest Ocean Market,CUST-171,Catfish Fillet,209.7,7.25,1520.32,31.9,34.0,PASS,K. Williams,226,94.92,No
DEL-1060,2025-07-15,Oklahoma City,Tulsa Bay Imports,,Tuna Steak,269.9,14.49,,37.7,34.0,FAIL,L. Davis,314,131.88,Yes
DEL-1061,2025-04-06,Tulsa,Tulsa Bay Imports,CUST-154,Tuna Steak,361.3,7.94,2868.72,36.1,34.0,FAIL,L. Davis,261,109.62,Yes
DEL-1062,2025-12-05,Tulsa,Midwest Ocean Market,CUST-195,Cod Fillet,188.0,6.84,1285.92,38.1,34.0,FAIL,R. Thompson,146,61.32,Yes
DEL-1063,2025-07-09,Oklahoma City,Tulsa Bay Imports,CUST-112,Crawfish Tails,174.4,12.05,2101.52,38.6,34.0,FAIL,K. Williams,229,96.18,Yes
DEL-1064,2025-10-31,Oklahoma City,Prairie Seafood LLC,CUST-170,Tilapia Fillet,186.0,13.77,2561.22,29.8,34.0,PASS,J. Hernandez,112,47.04,Yes
DEL-1065,2025-05-10,Wichita,Midwest Ocean Market,CUST-123,Gulf Shrimp,442.7,11.82,5232.71,34.6,34.0,FAIL,L. Davis,259,108.78,Yes
DEL-1066,2025-09-16,Tulsa,Sooner Seafood Co.,CUST-119,Gulf Shrimp,230.3,4.57,1052.47,36.8,34.0,FAIL,J. Hernandez,162,68.04,Yes
DEL-1067,2025-11-08,Oklahoma City,Tulsa Bay Imports,CUST-199,Gulf Shrimp,301.1,9.53,2869.48,36.3,34.0,FAIL,K. Williams,200,84.0,Yes
DEL-1068,2026-04-07,Tulsa,Central Fish Supply,CUST-180,Tuna Steak,187.4,12.5,2342.5,36.5,34.0,FAIL,J. Hernandez,191,80.22,Yes
DEL-1069,2025-03-25,Oklahoma City,Tulsa Bay Imports,CUST-137,Tilapia Fillet,298.4,5.77,1721.77,33.7,34.0,PASS,K. Williams,325,136.5,No
DEL-1070,2025-10-23,Wichita,Central Fish Supply,CUST-154,Crawfish Tails,82.0,6.88,564.16,31.7,34.0,PASS,K. Williams,186,78.12,No
DEL-1071,2025-08-19,Wichita,Red Plains Fish Market,CUST-156,Cod Fillet,422.0,4.54,1915.88,30.3,34.0,PASS,R. Thompson,232,97.44,No
DEL-1072,2025-11-08,Wichita,Wichita Fresh Catch,CUST-194,Cod Fillet,275.2,10.66,2933.63,29.1,34.0,PASS,J. Hernandez,306,128.52,Yes
DEL-1073,2025-09-14,Oklahoma City,Sooner Seafood Co.,CUST-173,Catfish Fillet,482.9,15.62,7542.9,36.1,34.0,FAIL,J. Hernandez,222,93.24,No
DEL-1074,2025-06-29,Tulsa,Route 66 Seafood,CUST-160,Crawfish Tails,462.2,6.13,2833.29,36.2,34.0,FAIL,L. Davis,131,55.02,Yes
DEL-1075,2025-12-08,Tulsa,Sooner Seafood Co.,CUST-158,Tilapia Fillet,198.4,13.56,,32.0,34.0,PASS,L. Davis,103,43.26,No
DEL-1076,2025-09-16,Tulsa,Sooner Seafood Co.,CUST-152,Tuna Steak,439.2,15.46,6790.03,28.0,34.0,PASS,K. Williams,321,134.82,No
DEL-1077,2026-01-06,Wichita,Midwest Ocean Market,CUST-189,Crawfish Tails,392.0,6.45,2528.4,35.7,34.0,FAIL,R. Thompson,309,129.78,Yes
DEL-1078,2025-01-30,Wichita,Heartland Fish Co.,CUST-128,Catfish Fillet,369.4,8.01,2958.89,28.2,34.0,PASS,L. Davis,132,55.44,Yes
DEL-1079,2025-04-27,Tulsa,Sooner Seafood Co.,CUST-161,Tilapia Fillet,274.3,13.89,3810.03,35.1,34.0,FAIL,R. Thompson,297,124.74,Yes
DEL-1080,2025-09-07,Tulsa,Route 66 Seafood,,Tilapia Fillet,222.6,16.87,3755.26,35.1,34.0,FAIL,M. Patel,120,50.4,Yes
DEL-1081,2026-03-01,Tulsa,Route 66 Seafood,CUST-119,Cod Fillet,419.2,7.6,3185.92,32.2,34.0,PASS,K. Williams,335,140.7,Yes
DEL-1082,2026-05-11,Tulsa,Prairie Seafood LLC,CUST-129,Tuna Steak,254.9,8.17,2082.53,30.6,34.0,PASS,M. Patel,281,118.02,Yes
DEL-1083,2026-02-25,Oklahoma City,Prairie Seafood LLC,CUST-104,Crawfish Tails,367.4,15.27,5610.2,33.4,34.0,PASS,M. Patel,338,141.96,No
DEL-1084,2025-12-06,Oklahoma City,Midwest Ocean Market,CUST-109,Gulf Shrimp,286.7,10.13,2904.27,38.1,34.0,FAIL,L. Davis,164,68.88,Yes
DEL-1085,2025-09-29,Tulsa,Heartland Fish Co.,CUST-140,Tuna Steak,342.4,15.85,5427.04,39.9,34.0,FAIL,K. Williams,279,117.18,Yes
DEL-1086,2026-05-15,Wichita,Gulf Coast Seafood Dist.,CUST-155,Gulf Shrimp,155.6,13.42,2088.15,32.0,34.0,PASS,M. Patel,131,55.02,Yes
DEL-1087,2025-04-13,Tulsa,Red Plains Fish Market,CUST-147,Cod Fillet,456.5,4.17,1903.61,39.1,34.0,FAIL,R. Thompson,268,112.56,Yes
DEL-1088,2025-09-08,Wichita,Wichita Fresh Catch,CUST-163,Tilapia Fillet,126.5,4.65,588.23,40.2,34.0,FAIL,K. Williams,208,87.36,Yes
DEL-1089,2025-05-27,Oklahoma City,Midwest Ocean Market,CUST-186,Cod Fillet,256.8,13.17,3382.06,40.6,34.0,FAIL,L. Davis,232,97.44,Yes
DEL-1090,2025-03-17,Tulsa,Prairie Seafood LLC,CUST-149,Cod Fillet,337.5,9.65,,31.5,34.0,PASS,R. Thompson,186,78.12,Yes
DEL-1091,2025-04-20,Oklahoma City,Wichita Fresh Catch,CUST-101,Mahi Mahi,308.7,17.89,5522.64,32.1,34.0,PASS,L. Davis,225,94.5,Yes
DEL-1092,2025-02-20,Wichita,Midwest Ocean Market,CUST-179,Cod Fillet,399.1,6.84,2729.84,39.2,34.0,FAIL,M. Patel,182,76.44,Yes
DEL-1093,2025-05-21,Wichita,Sooner Seafood Co.,CUST-137,Atlantic Salmon,189.0,9.89,1869.21,36.1,34.0,FAIL,M. Patel,131,55.02,Yes
DEL-1094,2026-03-02,Oklahoma City,Tulsa Bay Imports,CUST-121,Tilapia Fillet,403.9,16.21,6547.22,33.1,34.0,PASS,K. Williams,224,94.08,Yes
DEL-1095,2026-05-09,Tulsa,Prairie Seafood LLC,CUST-171,Gulf Shrimp,260.7,4.59,1196.61,38.6,34.0,FAIL,M. Patel,288,120.96,Yes
DEL-1096,2026-02-09,Oklahoma City,Central Fish Supply,CUST-181,Gulf Shrimp,254.7,13.26,3377.32,37.4,34.0,FAIL,K. Williams,280,117.6,Yes
DEL-1097,2025-04-21,Wichita,Tulsa Bay Imports,CUST-182,Crawfish Tails,61.3,16.32,1000.42,35.9,34.0,FAIL,K. Williams,198,83.16,No
DEL-1098,2026-04-21,Wichita,Central Fish Supply,CUST-112,Tuna Steak,102.5,4.16,426.4,28.5,34.0,PASS,L. Davis,144,60.48,Yes
DEL-1099,2025-05-19,Tulsa,Midwest Ocean Market,CUST-153,Mahi Mahi,351.7,14.28,5022.28,41.2,34.0,FAIL,L. Davis,164,68.88,Yes
DEL-1100,2026-05-17,Wichita,Wichita Fresh Catch,,Cod Fillet,64.7,8.87,573.89,34.2,34.0,FAIL,M. Patel,270,113.4,No
DEL-1101,2026-01-12,Wichita,Prairie Seafood LLC,CUST-184,Atlantic Salmon,229.2,6.25,1432.5,29.7,34.0,PASS,L. Davis,131,55.02,Yes
DEL-1102,2025-01-22,Oklahoma City,Prairie Seafood LLC,CUST-175,Catfish Fillet,495.0,14.91,7380.45,30.9,34.0,PASS,K. Williams,191,80.22,Yes
DEL-1103,2025-08-27,Tulsa,Red Plains Fish Market,CUST-122,Atlantic Salmon,174.8,17.77,3106.2,41.8,34.0,FAIL,K. Williams,213,89.46,No
DEL-1104,2025-01-27,Oklahoma City,Gulf Coast Seafood Dist.,CUST-106,Mahi Mahi,405.5,6.95,2818.22,32.5,34.0,PASS,M. Patel,220,92.4,No
DEL-1105,2026-03-08,Wichita,Sooner Seafood Co.,CUST-164,Gulf Shrimp,264.3,14.78,,35.2,34.0,FAIL,J. Hernandez,316,132.72,Yes
DEL-1106,2025-02-14,Wichita,Route 66 Seafood,CUST-154,Cod Fillet,256.1,17.48,4476.63,28.9,34.0,PASS,L. Davis,290,121.8,Yes
DEL-1107,2026-05-18,Wichita,Midwest Ocean Market,CUST-179,Gulf Shrimp,454.7,8.17,3714.9,30.1,34.0,PASS,M. Patel,225,94.5,Yes
DEL-1108,2025-11-29,Tulsa,Heartland Fish Co.,CUST-155,Cod Fillet,254.2,12.28,3121.58,29.4,34.0,PASS,J. Hernandez,195,81.9,Yes
DEL-1109,2025-08-22,Tulsa,Prairie Seafood LLC,CUST-147,Crawfish Tails,229.4,14.08,3229.95,32.4,34.0,PASS,R. Thompson,215,90.3,Yes
DEL-1110,2026-05-01,Oklahoma City,Sooner Seafood Co.,CUST-175,Gulf Shrimp,92.0,4.9,450.8,38.3,34.0,FAIL,M. Patel,115,48.3,Yes
DEL-1111,2025-12-04,Wichita,Sooner Seafood Co.,CUST-176,Tuna Steak,209.1,13.15,2749.66,38.5,34.0,FAIL,J. Hernandez,232,97.44,Yes
DEL-1112,2025-04-17,Wichita,Route 66 Seafood,CUST-114,Catfish Fillet,119.6,10.49,1254.6,39.9,34.0,FAIL,R. Thompson,273,114.66,Yes
DEL-1113,2025-08-20,Tulsa,Route 66 Seafood,CUST-134,Atlantic Salmon,324.0,13.04,4224.96,37.7,34.0,FAIL,J. Hernandez,177,74.34,Yes
DEL-1114,2025-11-13,Tulsa,Prairie Seafood LLC,CUST-194,Atlantic Salmon,131.6,5.58,734.33,37.2,34.0,FAIL,J. Hernandez,157,65.94,Yes
DEL-1115,2025-02-01,Oklahoma City,Route 66 Seafood,CUST-199,Catfish Fillet,219.3,10.08,2210.54,30.2,34.0,PASS,R. Thompson,251,105.42,Yes
DEL-1116,2025-03-28,Oklahoma City,Red Plains Fish Market,CUST-162,Tilapia Fillet,389.5,4.22,1643.69,29.1,34.0,PASS,L. Davis,302,126.84,Yes
DEL-1117,2026-03-01,Tulsa,Tulsa Bay Imports,CUST-167,Gulf Shrimp,205.3,5.11,1049.08,37.5,34.0,FAIL,K. Williams,334,140.28,Yes
DEL-1118,2025-02-16,Oklahoma City,Wichita Fresh Catch,CUST-137,Atlantic Salmon,53.5,7.87,421.05,31.0,34.0,PASS,M. Patel,215,90.3,Yes
DEL-1119,2025-01-08,Tulsa,Wichita Fresh Catch,CUST-109,Tilapia Fillet,108.1,11.22,1212.88,31.2,34.0,PASS,K. Williams,266,111.72,Yes
